Deployment: TfGM - Drakewell - A set of traffic cameras deployed by TfGM.,,,,,,,,,,,,,,,,
Platform: Drakewell  1414 (Automatic Traffic Counter) ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
timestamp,Vehicle count  - Motorcycles southwest bound ,Vehicle count  - Motorcycles northeast bound ,Vehicle count  - Cars and Light Vans southwest bound ,Vehicle count  - Cars and Light Vans northeast bound ,Vehicle count  - Cars with Trailer southwest bound ,Vehicle count  - Cars with Trailer northeast bound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses southwest bound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses northeast bound ,Vehicle count  - Articulated HGVs southwest bound ,Vehicle count  - Articulated HGVs northeast bound ,Vehicle count  - Buses and Coaches southwest bound ,Vehicle count  - Buses and Coaches northeast bound ,Vehicle speed  - Vehicles Speed southwest bound (km/h),Vehicle speed  - Vehicles Speed northeast bound (km/h)
12/05/2022 05:00,0,4,119,120,0,0,6,3,2,2,2,0,49.27,52.08,,
12/05/2022 06:00,4,11,389,263,0,0,18,16,1,0,2,0,48.61,50.82,,
12/05/2022 07:00,3,20,858,627,1,0,33,21,2,2,3,0,44.52,46.6,,
12/05/2022 08:00,3,19,876,1054,1,0,37,29,5,5,8,0,41.75,38.28,,
12/05/2022 09:00,4,21,761,909,1,0,47,30,7,1,7,0,40.76,40.52,,
12/05/2022 10:00,3,13,757,689,2,0,49,35,3,2,4,0,42.3,43.08,,
12/05/2022 11:00,6,14,665,673,2,1,40,30,3,1,6,0,43.14,43.9,,
12/05/2022 12:00,5,25,807,739,2,0,52,37,4,4,4,0,41.63,41.18,,
12/05/2022 13:00,2,9,808,747,2,0,46,23,2,0,5,0,42.13,42.93,,
12/05/2022 14:00,9,23,807,753,4,1,26,28,8,2,6,0,42.17,41.8,,
12/05/2022 15:00,11,13,923,910,1,1,31,12,4,9,5,0,39.71,37,,
12/05/2022 16:00,10,12,895,978,2,0,40,13,14,11,6,0,32.8,36.11,,
12/05/2022 17:00,19,14,1055,1010,0,0,34,22,10,8,6,0,39.67,38.22,,
12/05/2022 18:00,8,27,1046,956,1,0,12,15,5,4,7,0,40.86,40.37,,
12/05/2022 19:00,9,11,882,749,1,1,13,11,7,0,6,0,43.53,45.33,,
12/05/2022 20:00,7,15,745,696,0,0,16,10,1,1,4,0,44.69,46.11,,
12/05/2022 21:00,7,13,561,585,1,0,10,8,0,0,4,0,45.78,45.54,,
12/05/2022 22:00,9,6,636,516,0,0,9,8,1,0,4,0,46.28,46.61,,
12/05/2022 23:00,3,10,472,376,0,0,5,6,0,0,3,0,48.18,46.92,,
13/05/2022 00:00,4,4,306,309,0,0,4,7,0,1,3,0,51.08,48.33,,
13/05/2022 01:00,0,2,232,197,0,0,2,1,0,0,1,0,50.99,49.1,,
13/05/2022 02:00,1,5,161,139,0,0,1,0,0,0,0,0,52.23,48.69,,
13/05/2022 03:00,0,2,145,92,0,0,3,1,0,0,0,0,51.82,48.57,,
13/05/2022 04:00,1,4,105,87,0,0,5,3,1,1,0,0,51.47,50.72,,
13/05/2022 05:00,2,6,126,117,0,0,12,4,0,0,2,0,49.41,51.12,,
13/05/2022 06:00,0,9,351,267,2,0,18,12,1,0,3,0,49.02,51.04,,
13/05/2022 07:00,3,12,859,569,1,0,38,18,2,1,5,0,42.75,47.63,,
13/05/2022 08:00,6,31,816,935,2,1,53,30,6,8,8,0,41.18,39.85,,
13/05/2022 09:00,2,15,709,816,0,0,55,26,7,1,6,0,43.44,42.23,,
13/05/2022 10:00,2,17,679,615,0,0,50,29,2,1,7,0,42.64,44.25,,
13/05/2022 11:00,4,10,629,724,1,0,28,25,3,0,5,0,44.89,44.25,,
13/05/2022 12:00,5,13,736,684,1,0,47,30,4,0,4,0,42.86,43.34,,
13/05/2022 13:00,7,14,762,748,3,0,43,27,5,0,5,0,42.59,42.84,,
13/05/2022 14:00,4,18,835,787,3,0,34,18,7,2,5,0,41.47,41.32,,
13/05/2022 15:00,8,33,893,895,1,0,38,22,4,7,5,0,39.96,37.82,,
13/05/2022 16:00,17,17,900,1018,0,0,38,21,10,6,8,0,39.26,38.68,,
13/05/2022 17:00,25,21,999,983,2,0,23,23,8,4,3,0,39.72,39.63,,
13/05/2022 18:00,13,15,977,979,0,0,17,10,4,6,3,0,40.93,40.98,,
13/05/2022 19:00,5,14,1029,831,0,0,14,8,5,0,5,0,40.51,45.24,,
13/05/2022 20:00,12,20,825,810,0,0,12,12,6,1,5,0,43.29,44.78,,
13/05/2022 21:00,6,13,742,675,0,0,8,9,1,0,5,0,44.57,44.83,,
13/05/2022 22:00,12,15,793,684,1,0,6,7,3,0,4,0,44.08,44.47,,
13/05/2022 23:00,7,7,670,670,0,0,8,13,0,0,4,0,47.47,45.53,,
14/05/2022 00:00,3,10,495,491,0,0,6,4,0,1,3,0,48.13,47.24,,
14/05/2022 01:00,1,20,394,398,0,0,1,4,0,0,0,0,50.47,47.2,,
14/05/2022 02:00,3,3,361,288,0,0,6,5,0,0,0,0,50.43,48.01,,
14/05/2022 03:00,1,9,279,240,0,0,2,2,0,0,0,0,50.83,48.51,,
14/05/2022 04:00,2,4,242,187,0,0,3,1,0,0,0,0,53,51.68,,
